;cod;rec_trib_2013;rec_trib_2014;rec_trib_2015;rec_trib_2016;iptu_2013;iptu_2014;iptu_2015;iptu_2016
903;5100805;818343.1;1066734.87;1410248.19;1504046.56;77502.85;;208700.91;178354.95
904;3516507;463003.62;545503.34;653443.06;302075.21;122695.9;142020.9;162238.09;186972.67
905;3164803;975263.55;790841.78;315521.03;196083.2;1529.75;6199.86;8914.06;5728.22
906;2613008;2493440.51;2284855.98;2287265.74;3969797.27;210068.07;216351.41;201071.86;248070.7
907;2512036;225880.31;229164.63;232383.09;372289.53;4884.64;1035;2140;285
908;4309753;466657.41;500070.53;385200.28;378740.74;87795.91;95642.63;106149.21;115402.98
909;1302207;1374228.75;1517014.91;1123618.6;807049.71;10566.88;4190.16;54664.9;7929.38
910;4211603;2997226.91;3261964.63;3663833.14;3820140.73;448711.86;480833.9;516944.96;577489.85
911;3301157;1440622.69;2868736.74;2269809.9;768789.22;144807.65;166116.09;178102.45;198177.05
912;2402709;543495;694281.74;638156.89;765284.87;;;24368.42;
913;5107206;677974.7;776680.15;635451.1;;45716.37;45195.05;50520.62;
914;2516706;550488.35;648548.57;688306.54;852646.01;19562.93;3367.18;14962.27;5754.25
915;2503555;298405.4;298732.36;309475.97;167740.23;1707.9;;;
916;4321204;14322988.84;15759375.66;16938730.87;18644395.07;2972979.27;3599235.02;3131469.52;3749103.74
917;5107958;26063338.64;33702634.59;35187203.24;41485565.56;6033721.46;8927272.78;8511917.24;10782049.85
918;2202208;2993324.25;3274148.45;4393503.29;1932914.23;628045.19;398805.14;542052.1;584648.43
919;3162005;3138334.19;3293441.55;3472357.07;3294053.11;364947.54;435318.53;471763.16;529466.28
920;4216701;2335115.61;2816343.13;2993152.12;3597603.94;1174498.58;763809.44;880497.62;921089.14
921;4320859;774296.12;461863.01;430310.77;473790.65;58555.08;65252.89;71791.02;76812.04
922;2300903;149172.97;662834.42;634462;892352.84;5323.7;4081.54;18745.41;12199.1
923;4210050;205976;280608.69;255780.05;359666.9;16017.89;29206.41;30777.82;40470.41
924;4108304;137519917.4;157846964;170539985.9;198012007.5;29423488.87;39330766.09;46590873.38;52912679.28
925;4208401;4221561.94;;5395848.96;6881358.72;687182.59;;1121164.11;1786231.78
926;2804409;1397499.43;1738821.82;1386015.36;1294880.14;45425.67;139769.78;235283.83;109690.46
927;4209003;19318393.85;20548026.61;23762990.82;29201289.3;5225551.53;5495942.07;6664457.86;9870658.69
928;4315206;487632.62;550747.64;562164.68;659552.78;137706.78;144642.49;152682.18;168228.26
929;4209854;538273.85;663073.45;940004.89;850391.57;85013;96016.99;153536.09;168881.24
930;3126505;401023.67;501515.21;450618.69;487554.49;21806.57;24766.02;23058.05;25031.22
931;4209458;335442.42;328856.87;360901.71;320958.59;40856.95;40099.8;43565.19;49867.86
932;1505486;5234393.83;4570585.71;5491960.93;731735.18;110873.02;131249.2;;9764.06
933;4310603;6721453.6;7649741.4;8141614.86;10095920.85;1233819.43;1406986.5;1510976.82;1563443.93
934;4313656;4270458.35;;5669489.02;6596087.31;1932000.13;;2437063.36;2984342.38
935;4214805;31979950.34;35733283.68;40338289.83;41905203.71;;10330462.12;12190500.66;12822157.97
936;4206207;1917697.43;1629613.37;2819576.32;2161883.58;287218.59;326362.06;398848.96;450739.35
937;4112306;899638.1;431716.7;468235.13;445914.9;66084.76;57872.17;58688.14;55953.01
938;4318507;3905146.31;11381466.86;9169832.28;7563284.72;567106.47;1508837.22;1719735.03;1343016.67
939;4107546;972246.04;471615.08;427126.65;580727.82;13002.19;16349.55;15958.5;14867.36
940;4205506;9889136.72;10746416.77;11966187.93;13335520.29;1714342.64;1860513.47;2463379.03;2838105.01
941;4203402;1251819.76;;1112884.43;1025084.19;137422.12;;159268.64;173746.54
942;2310001;539377.29;553967.06;620809.95;531822.49;26295.06;27282.23;43447;38896.21
943;5209903;1233178.02;;5358615.06;1112809.35;172938.97;;65686.76;57619.99
944;4313953;2009835.95;2055204.23;1857036.92;2074592.86;241923.59;259103.58;266537.44;300651.72
945;4313375;8533187.97;9659624.71;11075231.83;12445305.19;1540039.44;1747461.16;2841561.1;3397869.09
946;4201406;17924841.97;18454570.06;19090142.03;18316322.88;4593504.59;5659673.95;5819145.5;5931588.12
947;3512902;2458901.44;2269933.65;1931156.42;1149762.7;612745.53;646791.98;691431.99;839694.85
948;3507753;1168236.89;1057106.69;327276;635821.56;66855.83;79958.9;87366.15;106228.53
949;2101103;279130.33;480278.38;233863.11;291920.72;5352.33;5802.91;4089.4;3264.91
950;3556701;72814377.97;79055123.34;84201251.45;91248356.85;24718436.96;27711539.69;29874170.59;31751835.82
951;4105409;5030222.09;6032381.74;6051040.47;6807679.6;1410532.1;1596621.68;1743553.47;2039784.37
952;4304606;168446162.8;205097504.4;200280232.5;193266809.8;23576477.97;40294302.64;58803740.45;42347964.48
953;1502707;3771025.33;4236042.53;4797637.37;6245096.06;389613.81;534467.39;496105.22;653071.78
954;3109105;918824.67;1013276.88;1218736.27;1273372.07;234390.37;241110.12;255991.94;98042.29
955;4202438;381299.41;;430201.2;630884.1;44001.81;;52134.03;63041.85
956;3528304;987732.26;908838.44;1262249.55;3439698.56;162803.78;230135.59;270630.63;290531.13
957;4305355;9102316.05;10633566.86;10152684.81;11657769.15;2753277.09;3839361.64;3022744.26;4672446.55
958;3535309;8111394.46;10138472.86;9243048.3;11015020.06;2498674.93;3392045.72;2973843.74;4043056.84
959;3134509;662354.86;753763.7;731694.22;848816.29;83663.33;102504.98;67941.32;57838.04
960;2306801;626710.84;834156.3;816878.82;721342.03;17635.3;36786.61;39227.2;64776.42
961;2603454;18192019.21;23989831.51;25527504.63;25071415.56;4217680.97;6800595.63;7475052.08;5994378.32
962;3509601;23432092.17;27230697.01;31366520.68;30088256.71;11161456;12079775.26;15268676.68;15751466.15
963;3526506;1723994.58;1643284.85;2067578.48;2374070.86;171080.73;199558.09;259116.05;286212.32
964;3152105;13628795.72;15660178.32;16535813.92;18450404.77;4101275.03;4624508.59;5353349.97;6256392.56
965;4107850;429543.66;;581792.41;623369.22;50894.27;;73198.82;75894.4
966;3122702;382823.49;405521.25;415750.05;504371.47;66222.63;72769.31;74680.1;88279.57
967;2507903;406037.07;286326.17;268733.41;353063.61;63340.22;36945.69;21372.63;12138.5
