;region_id;month;gdp_region;fpm;idhm;pop;unemployment;itbi;treasure;iptu
49770;1600600;107;900487000.0;10599100.72;;;;349613.62;87562378.12;466965.64
55581;1600600;119;982754000.0;10022658.18;;;;100208.37;83792776.93;1631717.79
61058;1600600;131;1075428000.0;10643526.04;0.6920000000000001;101262.0;;102001.16;92257019.24;1042645.08
65836;1600600;143;1274490000.0;12944505.62;;;;194010.18;112711420.51;1300227.17
70578;1600600;155;1476769000.0;13861763.18;;;10.9;567955.54;120065854.54;1295058.68
73170;1600600;167;1819411000.0;14907769.63;;;9.3;;10877424.63;824427.92
82970;1600600;179;1874614000.0;15828157.05;;;9.8;;;
89010;1600600;191;;16660786.44;;;13.9;;;
94570;1600600;203;;3143357.95;;113854.0;16.8;;;
4247;2107506;11;;3935406.59;0.617;76144.0;;30108.45;8782156.61;67675.2
9320;2107506;23;;5139198.76;;;;35500.37;10822781.72;61754.29
13381;2107506;35;129881000.0;6548550.77;;;;29129.06;14504675.81;124701.3
20900;2107506;47;156925000.0;7488392.88;;;;6725.17;13921324.65;88557.42
24998;2107506;59;184166000.0;8350409.76;;;;7879.19;19765953.31;308331.98
28387;2107506;71;195952000.0;11224126.8;;;;60072.51;27459645.28;78559.8
35163;2107506;83;238774000.0;12472367.13;;;;85733.32;30911798.77;116148.84
41383;2107506;95;253129000.0;14480216.35;;;;131368.9;39297892.96;153854.26
49218;2107506;107;298627000.0;16946160.72;;;;189821.3;49500781.47;256167.21
54837;2107506;119;351282000.0;15848918.77;;;;321013.73;53436203.94;497969.41
59671;2107506;131;378482000.0;18110502.87;0.7240000000000001;105121.0;;618971.47;66990338.07;1063271.46
64324;2107506;143;438017000.0;21539911.74;;;;853000.07;82759169.54;851078.89
70506;2107506;155;498921000.0;22188978.82;;;12.5;;;
75008;2107506;167;577554000.0;23803555.15;;;6.8;;12663070.05;493423.56
78945;2107506;179;719157000.0;25784292.61;;;10.9;;17763448.0;1895823.17
87900;2107506;191;;29093216.22;;;13.3;;15321057.6;1050361.92
94383;2107506;203;;5617413.45;;119915.0;17.2;;;
4320;2109452;11;;1788821.46;0.44;17088.0;;1333.57;4650764.67;2742.32
9329;2109452;23;;2058170.05;;;;1400.48;5473354.01;1584.97
13405;2109452;35;61134000.0;3020458.42;;;;1390.5;7818860.43;1600.74
20885;2109452;47;44120000.0;3209288.88;;;;150.0;8695664.81;248.44
25015;2109452;59;42694000.0;3578747.31;;;;;9706645.48;
28413;2109452;71;48462000.0;4492310.35;;;;2706.54;12569203.51;2879.83
35204;2109452;83;70438000.0;4989872.33;;;;27493.65;14710514.63;36867.28
41323;2109452;95;59084000.0;5792086.86;;;;8137.74;18090593.38;14174.2
49036;2109452;107;72164000.0;7908208.6;;;;8104.36;23814994.41;23847.11
54863;2109452;119;89869000.0;7396162.31;;;;4475.73;25495741.87;19010.63
59835;2109452;131;87152000.0;7923345.23;0.626;26327.0;;12720.0;28695813.1;86962.66
64357;2109452;143;111750000.0;9423711.61;;;;56231.61;35313851.1;53316.64
70464;2109452;155;126575000.0;9707678.41;;;12.5;24676.77;36843073.72;111164.67
74878;2109452;167;179037000.0;10414055.47;;;6.8;;1072028.75;106538.02
78967;2109452;179;200409000.0;11280628.19;;;10.9;;2108810.01;106270.39
87770;2109452;191;;11979559.83;;;13.3;;1999832.02;136593.08
94379;2109452;203;;2313052.63;;30304.0;17.2;;1785834.04;135795.03
4295;2111201;11;;5366463.33;0.5720000000000001;107384.0;;58742.49;14121028.14;108463.81
9359;2111201;23;;6374100.43;;;;81258.82;15143832.69;135510.34
13453;2111201;35;262646000.0;8061411.12;;;;151711.84;17555972.5;428903.82
20969;2111201;47;287660000.0;8559337.96;;;;77391.33;18990910.16;386365.86
24923;2111201;59;299359000.0;10139783.08;;;;46543.73;31287488.96;440654.58
28428;2111201;71;344156000.0;12725995.76;;;;287264.0;39431251.0;717172.0
35037;2111201;83;456131000.0;14965896.99;;;;366994.02;45525834.34;927456.68
41276;2111201;95;518576000.0;35631547.86;;;;656799.1;80008306.42;1560919.87
49085;2111201;107;570258000.0;45316575.79;;;;871118.65;104990098.0;1800460.69
54807;2111201;119;645369000.0;41520586.19;;;;1177451.91;116915304.08;2266107.61
59807;2111201;131;752813000.0;44239910.87;0.708;163045.0;;2023324.18;136314178.19;2969992.76
64375;2111201;143;933629000.0;54046130.13;;;;4392629.69;171971300.02;3312789.11
70543;2111201;155;1159754000.0;55518665.6;;;12.5;6444513.78;184342480.73;2661337.78
74871;2111201;167;1364988000.0;59386894.87;;;6.8;;25100422.4;2388606.47
