acp;model_consumption;model_firm;model_fpm;model_gdp_region;model_labor;model_prop_consumption_gdp;model_prop_consumption_total;model_prop_firm_gdp;model_prop_firm_total;model_prop_fpm_gdp;model_prop_fpm_total;model_prop_labor_gdp;model_prop_labor_total;model_prop_property_gdp;model_prop_property_total;model_prop_transaction_gdp;model_prop_transaction_gdpreal_prop_fpm_gdp;model_prop_transaction_total;model_prop_treasure_gdp;model_property;model_transaction;model_treasure;real_fpm;real_gdp_region;real_prop_fpm_gdp;real_prop_fpm_total;real_prop_property_gdp;real_prop_property_total;real_prop_transaction_gdp;real_prop_transaction_total;real_prop_treasure_gdp;real_property;real_transaction;real_treasure
JUIZ DE FORA;73.76185041133519;37.48158565368568;14.364907282684285;2526.556914464534;23.645686843184986;;0.4715995783207612;;0.28036670123882;;1.0655498279222686;;0.15082527227209616;;0.08278126270469324;;;0.01442518942130421;;2.144375942628652;0.2876223546592489;137.3211211613352;13966287.56074074;2885884205.1282053;0.07587548237270841;2.334402082115734;0.0031505629540946;0.07267933482113538;0.0010313800998254274;0.00935336527624578;0.16161000714227716;21285109.8158;3455948.285128205;180702203.96941173
JUNDIAI;53.789228888985434;23.969914757991663;9.683768619353716;1675.488967164698;17.23761434381515;0.025044402667611737;0.4917969627661321;0.011807512084958827;0.2610853343788596;0.010216016210533032;0.20801430759617834;0.008021952028121539;0.15755387926384853;0.0017629431015307253;0.07608918404762363;0.0002916887400692122;;0.013474164885422905;0.04692849885854386;1.2627825533356498;0.16839500052119527;96.42793560806116;14958339.067407405;5001569217.948718;0.0069990324749028615;0.2196849327738377;0.003964252749174875;0.12437197538817385;0.0007705049352358272;0.013256695698926832;0.052829432424361986;16008292.131470587;3427968.2832051283;174254315.17852938
LONDRINA;78.53343064051094;39.11964142022941;15.107461223149116;2645.586886600626;25.167440720020856;0.02191039565048301;0.470297363367806;0.011643541105726905;0.27550485798662905;0.010910613550338795;0.2401667400003329;0.0070164174345666115;0.15044739319993156;0.001995295169860611;0.08800138720514185;0.00033802664443657605;;0.015748886616927756;0.042903677346144815;2.0865331180917623;0.2917449137122002;145.19879082898854;17751543.435588233;3343789711.5384607;0.01033866534224685;0.2700897464359648;0.004530523314759333;0.11894063184058935;0.0011476531962042716;0.016569236764465332;0.05995068168870728;22219061.047462683;4274065.573076923;179268682.28955224
MACAPA;106.2340492980167;47.1508129269311;17.9600013434238;2662.027493736952;29.274725445198325;0.0363008639260891;0.5319839021995896;0.016242865976357237;0.2541797022929569;0.005652526120638202;0.08657411497515151;0.010018095321361262;0.15008332489451887;0.0012164993079704432;0.05242495170394583;0.00023019877922493838;;0.011327915750903328;0.06400852425175392;1.9871487938413364;0.3143960793319416;184.96113253653442;50042203.97117647;2952169269.230769;0.01515950023134859;0.4649894814006705;0.0009373582066480408;0.0275905505345144;0.0002060164949348261;0.002638952385524556;0.0657786083471407;2440878.0458064512;432674.88384615385;146663107.10032257
MACEIO;106.92965876688908;46.705804571100906;18.566984968098414;2970.3164933277726;32.302643733944954;0.03268079884312382;0.20215909222597048;0.014859400055404088;0.10239206159772693;;9.78600598043476;0.009874165351657905;0.06143808262058013;;0.5056576521600835;;;0.1283536671176726;;1.9205687539616343;0.30380421976647204;188.16248002502084;42848174.66729411;2154570892.3076925;0.0743178026291701;1.4836848352987901;0.001397482592768309;0.03426082343870473;0.0006286591674189745;0.0043089440276242895;0.1771529661370054;10242513.344155842;2391446.346923077;155555694.85670733
MANAUS;880.2929810177825;369.5606346809624;146.2136289874477;22442.73229393305;252.62502059100413;0.03405828204816379;0.5400878576376715;0.014448350352585059;0.251995399155831;0.005692550504258667;0.09622315077265273;0.009775268812942713;0.15746481854818456;0.0008369963264910923;0.04184348627916582;0.00014396665400070468;;0.008608428377022779;0.05926286421984797;15.688437114016736;2.4345299853556477;1520.6016034728036;139984918.03176472;41218257153.84615;0.0034422029422390174;0.1159123000024092;0.0011740292767583726;0.05532462078066035;0.0004389335661255697;0.008965687208743191;0.04143418710540071;61795787.11176472;16090647.684615385;1414361187.2870586
MARINGA;34.563738769979146;17.919536300555944;6.808597782835301;1205.8244534398887;11.05322222029187;;0.4443387405566409;;0.2682072913591148;;0.4811795229323619;;0.14201695942542;;0.12094796297364135;;;0.02448955454971376;;1.0273314268589298;0.14033641191799862;64.70416513203614;12657046.476862745;1559368025.6410255;0.028086336161935288;0.434802358950748;0.0032879803523540576;0.0803300210827488;0.0017787125932284288;0.017597709350272918;0.09143364388147886;10187169.906138614;2523863.37551282;86071134.76009901
NATAL;88.41052360288862;39.119227703841574;15.600122801816552;2552.838428528885;27.264274171381782;0.03558752664286219;0.4836590242367296;0.01661595416362301;0.2501063975839836;0.030727796417829224;0.3722173780821637;0.0109746362837308;0.14973227513749834;0.00530362101207776;0.09594143445403122;0.0013200800191786144;;0.02056170354311991;0.06980177584589857;1.7694607549136392;0.2590560364800477;156.8225422498511;28816256.6105042;2256454054.945055;0.02792291513904839;0.4805397213407729;0.0028492284926300393;0.05984435390272401;0.002789896723771703;0.019556941813765296;0.10064195865287667;8106704.253913042;3908642.6248888886;151731826.2075
NOVO HAMBURGO/SAO LEOPOLDO;29.053898363320602;14.146474478898929;5.513907660125043;967.774543852032;9.316963234369576;;0.4398136134481129;;0.24907963741114786;;2.567773500609454;;0.14099769673151108;;0.14578415329476024;;;0.024324900361219905;;0.6969615865751997;0.10045896543938868;53.31475661427579;10584488.229861112;1206042012.8205128;0.019290336458714624;0.6421310766335393;0.0032236142754031322;0.1005537364308642;0.00086211869849735;0.010783472591782086;0.07565830835795256;4860801.041287128;1052022.5176774194;64939439.13504951
PELOTAS - RIO GRANDE;149.78242037317327;66.72314270146136;26.955260553757828;4593.894536012526;47.98006685908142;0.024520217189161343;0.501112936968813;0.01141575877112917;0.2650715475205525;0.00518908271459515;0.11438780802945665;0.007843588076647928;0.15997288388412995;0.0011417512820041257;0.06252976457913417;0.0001877781663460134;;0.011312662889120749;0.04510909444541278;3.2480880782881005;0.4582919968684761;268.1920100991649;28189027.396666665;4038311230.7692313;0.00716464886385993;0.16092248099340606;0.0035007016377606873;0.08350628145797495;0.0011795190610008881;0.012900415740857528;0.07519772893449353;14956363.873529416;3586440.200384615;228759252.90558824
